id,name,tier,finalScore,baseScore,authScore,role,seniority,status,needsManualReview,outletName,outletSlug,outletTier,outletDR,competitorBacklinks,writesForCount,writesFor,beats,credentials,certifications,certificationsVerified,education,yearsInIndustry,location,linkedin,twitter,muckrack,personalSite,authorUrl,email,emailVerified,quotedInTier1,tvAppearances,authoredBooks,industryAwards,linkedinFollowers,linkedinConnections,linkedinFetchedAt,muckrackArticleCount,hasKnowledgePanel,ownedDomain,finraBrokerCheckStatus,discoveryMethod,notes,bio
steven-hatzakis,Steven Hatzakis,S,150,100,50,"Global Director of Online Broker Research, Partner — Reink Media Group (StockBrokers.com, ForexBrokers.com, BrokerNotes.co)",chief,active,,StockBrokers.com,stockbrokers,T3,60,2,6,stockbrokers; forexbrokers; brokernotes; interactivebrokers_campus; ibkr; finance_magnates,forex; stocks; crypto; broker_research,Series III (CTA); CFTC-registered Commodity Trading Advisor since 2008,; ; CTA (Commodity Trading Advisor) / Series III; Series 3 (CFTC); Commodity Trading Advisor (CTA),n; n; n; n; n,,20,,https://www.linkedin.com/in/shatzakis/,https://x.com/shatzakis,https://muckrack.com/steven-hatzakis,https://www.stevenhatzakis.com/,https://www.stockbrokers.com/about/steven-hatzakis,,,Bloomberg,,,,,500+,2026-04-16T00:00:00Z,,,stevenhatzakis.com,NFA CTA registered (via CFTC/NFA public record),L5.5-direct + Rule A (cross-outlet; Series III CTA + Reink Media partner role confirmed),,"Global Director of Online Broker Research and Partner at Reink Media Group (parent of StockBrokers.com, ForexBrokers.com and BrokerNotes.co). 20+ years in finance. Registered commodity futures representative for domestic and internationally-regulated brokerages; holds Series III license as a Commodity Trading Advisor (CTA) — registered with the CFTC since 2008 (10+ years). Has published 1,000+ articles on the forex industry; early writer on Bitcoin and crypto. Active cryptocurrency researcher, investor and trader (3,000+ crypto trades in 2020). Frequent speaker and moderator at forex and finance industry panels globally."
beth-pinsker,Beth Pinsker,S,144,96,50,Financial-planning columnist — MarketWatch,senior,active,,MarketWatch,marketwatch,T1,91,3,6,marketwatch; reuters; wsj; forbes; usatoday; nerdwallet,personal-finance; retirement; investing; financial-journalism,CFP,CFP,n,B.A. English@Harvard University,20,,https://www.linkedin.com/in/bpinsker/,,https://muckrack.com/beth-pinsker,https://bethpinsker.com/,,,,WSJ; Forbes; USA Today,,My Mother's Money: A Guide to Financial Caregiving,,2368,,2026-04-16T00:00:00Z,,,true,,Rule A (L1 seed),,"Financial-planning columnist at MarketWatch. Certified Financial Planner (CFP®) since 2018. B.A. English, Harvard University. Previously worked at Reuters, Fidelity and Walletpop.com. Before personal finance, was a film critic and entertainment business reporter at Entertainment Weekly, The Dallas Morning News and others. Won a SABEW Best in Business award in 2023 for commentary. Author of 'My Mother's Money: A Guide to Financial Caregiving' (Crown Currency, Nov 2025). Bylines in WSJ, USA Today, Forbes, Miami Herald, San Francisco Chronicle, NerdWallet."
vitaliy-katsenelson,"Vitaliy Katsenelson, CFA",S,144,96,50,"CEO — Investment Management Associates (Contributor, Seeking Alpha)",chief,active,,Seeking Alpha,seekingalpha,T2,88,8,2,seekingalpha; imausa,investing; equity; markets; financial-journalism,CFA,CFA,n,BS Finance@University of Colorado at Denver; MS Finance@University of Colorado at Denver,28,"Denver, CO (Aurora), USA",https://www.linkedin.com/in/katsenelson,,,https://investor.fm/,https://seekingalpha.com/author/vitaliy-katsenelson-cfa,,,FT; WSJ; Barron's; Institutional Investor; Foreign Policy; Forbes,,[object Object]; [object Object],,,,,,,true,,L7 WebSearch (SeekingAlpha 403),,"CEO of Investment Management Associates (IMA), a Denver-based value investing firm. Emigrated from Murmansk, Russia, to the US in 1991. Joined IMA in 1997. CFA charterholder (2000). Award-winning writer, author of 'Active Value Investing' and 'Soul in the Game: The Art of a Meaningful Life'. Work cited in Financial Times, Barron's, Institutional Investor, The Wall Street Journal, and Foreign Policy. Forbes Magazine dubbed him 'The New Benjamin Graham'. Runs The Intellectual Investor blog (investor.fm) and My Favorite Classical."
marc-chandler-investing,Marc Chandler,S,142,96,48,"Chief Market Strategist & Managing Partner — Bannockburn Global Forex (contributor, Investing.com)",chief,active,,Investing.com,investing,T2,89,3,4,investing; seekingalpha; financialsense; marctomarket,forex; interbank-fx; markets; fixed-income,CMT,CMT,n,,30,"New York, NY, USA",https://www.linkedin.com/in/chandlermarc,,,https://www.marctomarket.com/,https://www.investing.com/members/contributors/39495,,,CNBC; Bloomberg; FOX Business,CNBC; Bloomberg Television; FOX Business; Business News Network; Nightly Business Report,,,,,,,y,marctomarket.com,,L7-websearch,,"Chief Market Strategist and Managing Partner at Bannockburn Global Forex (since October 2018). 30+ years covering global capital markets. Previously global head of currency strategy at HSBC and Brown Brothers Harriman. Frequent guest on CNBC, Bloomberg Television, FOX Business, Business News Network, and Nightly Business Report. Professor, speaker, and writer. Maintains daily 'Marc to Market' blog. CMT holder (CMT Association presenter). Contributor on Investing.com and Seeking Alpha (since 2008)."
beverly-harzog,Beverly Harzog,S,141,94,50,Financial Review Board — Credit Cards Reviewer (Bankrate); Consumer finance analyst and author,senior,active,,Bankrate,bankrate,T1,90,2,7,bankrate; usnews; wsj; usatoday; nytimes; forbes; kiplinger,personal-finance; banking; credit; financial-journalism,CPA (former); MBA,CPA (former),n,MBA@University of New Haven,30,,https://www.linkedin.com/in/beverlyharzog/,https://twitter.com/BeverlyHarzog,,https://www.beverlyharzog.com/,https://www.bankrate.com/authors/beverly-harzog/,beverly@beverlyharzog.com,y,The Wall Street Journal; USA Today; The New York Times; Washington Post; Forbes; Money Magazine; Kiplinger,Fox News; CNN; CBS Evening News; NBC News; Cheddar; NBC New York,[object Object],,,,,,,beverlyharzog.com,,L1 + Rule A,,"Nationally recognized consumer finance analyst and credit expert with 30 years in the industry. Host of the Your Personal Economy podcast. Bestselling and award-winning author of five personal finance books. Former CPA. MBA from University of New Haven. Former columnist and media spokesperson for U.S. News & World Report. Expertise: credit cards, banking, consumer loans, mortgages, budgeting, inflation, economic policy, saving. Media appearances on Fox News, CNN, CBS Evening News, NBC News, Cheddar, NBC New York. Published in WSJ, USA Today, Money Magazine, NYT, NY Magazine, Kiplinger, Washington Post, Forbes, Good Housekeeping, Entrepreneur."
andrea-coombes-bankrate,Andrea Coombes,S,141,97,45,"Taxes Editor, Bankrate (CFP®)",editor,active,,Bankrate,bankrate,T1,90,2,4,bankrate; nerdwallet; marketwatch; wsj,personal-finance; taxes; retirement; investing,CFP,CFP®,n,,25,,https://www.linkedin.com/in/acoombes/,https://x.com/andreacoombes,https://muckrack.com/andreacoombes,,https://www.bankrate.com/authors/andrea-coombes/,,,WSJ; USA Today; MarketWatch,NPR All Things Considered; CBS News; NASDAQ; Marketplace,,,,,,,,,,L7 + Rule A WebSearch (bankrate 405),,"CERTIFIED FINANCIAL PLANNER (CFP®) and Taxes Editor at Bankrate with 25+ years as a financial coach, personal-finance writer and volunteer tax preparer. Translates complex personal-finance topics into plain English. Spent a decade at MarketWatch (including two years as editor overseeing personal-finance content). At NerdWallet 2017–2020 as investing and retirement writer. Work has been published in The Wall Street Journal, USA Today, MarketWatch and newspapers nationwide. Interviewed on NPR's All Things Considered, CBS News, NASDAQ and Marketplace. Award winner — National Endowment for Financial Education, Society of Professional Journalists, National Association of Consumer Advocates."
jennifer-streaks,Jennifer Streaks,S,139,99,40,Senior Personal Finance Reporter — Business Insider,senior,active,,Business Insider,businessinsider,T1,92,6,4,businessinsider; cnbc; forbes; yahoo_finance,personal-finance; investing; banking; credit,MBA,,,MBA@Johns Hopkins University; Undergraduate@College of Charleston,15,USA,https://www.linkedin.com/in/jstreaks/,https://x.com/jstreaks,https://muckrack.com/jstreaks,,https://muckrack.com/jstreaks,,,CNBC; Forbes; USA Today,Good Morning America; CBS; MSNBC; Yahoo Finance; NYSE TV,,,,500+,2026-04-16,,,,,L9 (Muck Rack 403) + Rule A,,"Senior Personal Finance Reporter at Business Insider — writes about credit, budgeting, saving, and how economic trends impact everyday people. Before Business Insider, she was a financial contributor for CNBC and covered personal finance, entrepreneurship, tech, and the economy for Forbes; work also in TheGrio, Black Enterprise, USA Today, and Yahoo Finance. Frequent on-air financial commentator on Good Morning America, Yahoo Finance, CBS, MSNBC, and the NYSE TV studio. Member of the National Association of Black Journalists (NABJ). MBA from Johns Hopkins University; BA/undergrad College of Charleston."
catey-hill,Catey Hill,S,138,98,41,Founding Editor — MarketWatch Picks; Head of Editorial (affiliate commerce),editor,active,,MarketWatch,marketwatch,T1,91,3,4,marketwatch; wsj; barrons; nextavenue,personal-finance; markets; investing,,,,,,USA,https://www.linkedin.com/in/catey-hill/,https://x.com/cateyhill,https://muckrack.com/catey-hill,https://www.cateyhill.org/,,,,WSJ; MarketWatch; Barron's; Forbes,Today Show; FOX & Friends; CBS This Morning,"The 30-Minute Money Plan for Moms; Shoo, Jimmy Choo!",,,,,,,cateyhill.org,,L1 + Rule A WebSearch (no authorUrl; MarketWatch author pages gated),,"Founding Editor of MarketWatch Picks and head of editorial for MarketWatch's affiliate commerce brands. Previously developed the Upgrade column (1M+ unique monthly visitors). Has written and edited personal finance, career, lifestyle and travel stories for The Wall Street Journal, MarketWatch, Barron's, Worth, SmartMoney, Forbes, Seventeen, and Real Simple. Author of two personal-finance books: The 30-Minute Money Plan for Moms and Shoo, Jimmy Choo! TV personal-finance commentator: Today Show, FOX & Friends, CBS This Morning, plus 100+ radio programs."
kerry-hannon,Kerry Hannon,S,138,92,50,"Senior Columnist — retirement, careers, personal finance",senior,active,,Yahoo Finance,yahoofinance,T1,96,0,6,yahoofinance; nytimes; forbes; money; usnews; usatoday,retirement; personal-finance; investing; taxes,,,,,25,USA,https://www.linkedin.com/in/kerryhannon,https://twitter.com/KerryHannon,https://muckrack.com/kerryhannon,https://kerryhannon.com/,https://finance.yahoo.com/author/kerry-hannon/,,,NYT; Forbes; Money; USN&WR; USA Today; Yahoo Finance,Yahoo Finance,Retirement Bites: A Gen X Guide to Securing Your Financial Future; In Control at 50+; Never Too Old to Get Rich; Great Jobs for Everyone 50+; Great Pajama Jobs,,,,,,,kerryhannon.com,,L9,,"Senior Columnist at Yahoo Finance and on-air expert. Workplace futurist and strategist on career transitions, entrepreneurship, personal finance and retirement. Best-selling and award-winning author of 14 books including 'Retirement Bites: A Gen X Guide to Securing Your Financial Future', 'In Control at 50+: How to Succeed in The New World of Work', 'Never Too Old to Get Rich', 'Great Jobs for Everyone 50+', 'Great Pajama Jobs'. Has covered personal finance, retirement and careers for The New York Times, Forbes, Money, U.S. News & World Report and USA Today. Recipient of the 2023 Retirement Pioneer Award (Retirement Coaches Association). Owns kerryhannon.com."
lawrence-lewitinn-coindesk,Lawrence Lewitinn,S,138,98,41,"Former Managing Editor, Markets — CoinDesk (now Managing Editor, N. America — The Block)",editor,former,,CoinDesk,coindesk,T2,89,5,6,coindesk; theblock; modernconsensus; nyobserver; thestreet; yahoofinance,crypto; markets; bitcoin,CFA,CFA,n,,20,"New York, NY, United States",https://www.linkedin.com/in/lvlewitinn/,,https://muckrack.com/lvlewitinn,,https://www.coindesk.com/author/lawrence-lewitinn,,,CNBC,CoinDesk TV — First Mover; CNBC,,,,,,,,,,websearch_fallback + Rule A (CoinDesk 403),,"Seasoned financial journalist with two decades of finance experience before reporting on it. Former Managing Editor for Markets at CoinDesk and co-host of CoinDesk TV's flagship daily program First Mover. Previously Editor-in-Chief of Modern Consensus and deputy editor of The New York Observer. Earlier traded fixed income, currencies and commodities on Wall Street for Millennium Management and MQS Capital. Currently Managing Editor for North America at The Block. CFA charterholder."
